County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
James City County,Virginia,51095,7.4,5,10.5
King And Queen County,Virginia,51097,9.9,3.6,20.9
King George County,Virginia,51099,12.4,7.1,20.1
King William County,Virginia,51101,13.7,7.3,22.8
Lancaster County,Virginia,51103,9,4.5,15.8
Lee County,Virginia,51105,14.7,8.8,22.7
Loudoun County,Virginia,51107,6.6,5.2,8.1
Louisa County,Virginia,51109,11.5,6.8,17.4
Lunenburg County,Virginia,51111,7.4,3.7,13.6
Madison County,Virginia,51113,9.7,4.6,18.8
Mathews County,Virginia,51115,4.1,1.5,9.8
Mecklenburg County,Virginia,51117,15.7,11.3,21.8
Middlesex County,Virginia,51119,6.4,2.7,13.2
Montgomery County,Virginia,51121,8.1,5.8,10.7
Nelson County,Virginia,51125,4,1.5,8.5
New Kent County,Virginia,51127,7.5,3.4,14.3
Northampton County,Virginia,51131,11.4,6.9,17.7
Northumberland County,Virginia,51133,7.9,4.1,14.6
Nottoway County,Virginia,51135,20.6,12.6,31.2
Orange County,Virginia,51137,12.2,7.9,17.5
Page County,Virginia,51139,19.9,11.8,30.7
Patrick County,Virginia,51141,13.5,7.6,21.8
Pittsylvania County,Virginia,51143,9.9,7.8,12.4
Powhatan County,Virginia,51145,15.4,8.2,24.5
Prince Edward County,Virginia,51147,13.5,8.6,19.2
Prince George County,Virginia,51149,11.5,7.9,15.9
Prince William County,Virginia,51153,9.2,7.6,10.8
Pulaski County,Virginia,51155,11.8,6.9,18.4
Rappahannock County,Virginia,51157,6.5,2.2,13.7
Richmond County,Virginia,51159,13.4,8.5,19.1
Roanoke County,Virginia,51161,9.1,7.1,11.7
Rockbridge County,Virginia,51163,10,5.8,15.7
Rockingham County,Virginia,51165,8.5,6.1,11.7
Russell County,Virginia,51167,16.6,10.4,23.9
Scott County,Virginia,51169,14.3,9.4,20.3
Shenandoah County,Virginia,51171,13,8.6,18.7
Smyth County,Virginia,51173,12.8,8.2,18.6
Southampton County,Virginia,51175,13.8,8.4,22
Spotsylvania County,Virginia,51177,10.3,7.5,13.5
Stafford County,Virginia,51179,7.3,5.2,9.5
Surry County,Virginia,51181,11.8,4.9,23
Sussex County,Virginia,51183,9.8,6.1,14.8
Tazewell County,Virginia,51185,11.9,7.9,17
Warren County,Virginia,51187,13.7,8.6,20.1
Washington County,Virginia,51191,15.6,11.2,21.1
Westmoreland County,Virginia,51193,13.8,7.3,24
Wise County,Virginia,51195,16,11.6,21.5
Wythe County,Virginia,51197,10.6,6.1,16.4
York County,Virginia,51199,7.6,4.8,10.8
Alexandria City,Virginia,51510,6.6,4.9,8.8
Bedford City,Virginia,51515,No Data,No Data,No Data
Bristol City,Virginia,51520,20.8,7.9,42.4
Buena Vista City,Virginia,51530,7.5,1.4,23.5
Charlottesville City,Virginia,51540,8.4,4.6,13.8
Chesapeake City,Virginia,51550,11.3,9.4,13.4
Colonial Heights City,Virginia,51570,8.7,3.9,16.4
Covington City,Virginia,51580,7.6,1.8,22.4
Danville City,Virginia,51590,9.8,6,15.7
Emporia City,Virginia,51595,10,2.4,27
Fairfax City,Virginia,51600,6.3,4.3,9
Falls Church City,Virginia,51610,4.8,1.8,10.1
Franklin City,Virginia,51620,11.5,6.7,18.5
Fredericksburg City,Virginia,51630,11.6,6.9,18.3
Galax City,Virginia,51640,10.6,2,26.7
Hampton City,Virginia,51650,14,11.5,16.7
Harrisonburg City,Virginia,51660,8.6,4.1,15
Hopewell City,Virginia,51670,15.5,9.7,23.3
Lexington City,Virginia,51678,7.2,1.7,19.9
Lynchburg City,Virginia,51680,9.8,6.8,13.6
Manassas City,Virginia,51683,4.4,1.6,9.7
Manassas Park City,Virginia,51685,21.9,8.6,39.6
Martinsville City,Virginia,51690,12,4.4,25.5
Newport News City,Virginia,51700,13.8,11.1,16.9
Norfolk City,Virginia,51710,12.1,10.4,14.1
Norton City,Virginia,51720,8.3,2.7,20
Petersburg City,Virginia,51730,12.6,9,17
Poquoson City,Virginia,51735,5.8,1.9,13.1
Portsmouth City,Virginia,51740,11.6,9,14.5
Radford City,Virginia,51750,10.1,4.2,17.9
Richmond City,Virginia,51760,11.8,9.8,14
Roanoke City,Virginia,51770,10.4,8,13.3
Salem City,Virginia,51775,7.3,2.9,14.2
Staunton City,Virginia,51790,12.1,4.1,24
Suffolk City,Virginia,51800,12.6,9.6,16.6
Virginia Beach City,Virginia,51810,9.2,7.7,10.8
Waynesboro City,Virginia,51820,18.5,8,34
Williamsburg City,Virginia,51830,11.3,3.8,26.2
Winchester City,Virginia,51840,7.3,2.6,14.5
Accomack County,Virginia,51001,12.7,9.5,16.8
Albemarle County,Virginia,51003,6.2,4.5,8.4
Alleghany County,Virginia,51005,13.2,8.3,20.1
Amelia County,Virginia,51007,12.1,6.8,18.3
Amherst County,Virginia,51009,12.1,6.9,19.2
Appomattox County,Virginia,51011,15.6,8.5,25.3
Arlington County,Virginia,51013,4.6,3.3,6.1
Augusta County,Virginia,51015,14.8,11.1,19.2
Bath County,Virginia,51017,3.8,0.7,11
Bedford County,Virginia,51019,12.8,9.4,17
Bland County,Virginia,51021,13.4,5.7,27.7
Botetourt County,Virginia,51023,9.7,5.8,15
Brunswick County,Virginia,51025,13,6.7,21.6
Buchanan County,Virginia,51027,8.3,4.7,13.2
Buckingham County,Virginia,51029,14.9,8.9,22
Campbell County,Virginia,51031,9.5,6.5,13.4
Caroline County,Virginia,51033,11.8,6.4,19.5
Carroll County,Virginia,51035,15.9,9.3,24.8
Charles City County,Virginia,51036,13.9,4.6,28.9
Charlotte County,Virginia,51037,9.3,5,15.7
Chesterfield County,Virginia,51041,9.2,7.6,10.8
Clarke County,Virginia,51043,10.4,4.5,20
Craig County,Virginia,51045,8.3,2.3,19.6
Culpeper County,Virginia,51047,8.8,5.6,12.7
Cumberland County,Virginia,51049,13.2,7.3,22.6
Dickenson County,Virginia,51051,10.1,5.5,16.2
Dinwiddie County,Virginia,51053,13.6,8.6,20.2
Essex County,Virginia,51057,11.8,5.5,21.7
Fairfax County,Virginia,51059,5.9,5,7
Fauquier County,Virginia,51061,7.5,4.8,10.8
Floyd County,Virginia,51063,7.6,3.9,12.4
Fluvanna County,Virginia,51065,14.4,7.7,23.6
Franklin County,Virginia,51067,11.8,7.5,16.9
Frederick County,Virginia,51069,10.5,7.6,13.9
Giles County,Virginia,51071,16.6,9.3,26.4
Gloucester County,Virginia,51073,10.3,6.7,15.2
Goochland County,Virginia,51075,7.3,3.8,12.3
Grayson County,Virginia,51077,8,3.9,14.7
Greene County,Virginia,51079,5.6,2.5,11.1
Greensville County,Virginia,51081,12.6,6.4,23.5
Halifax County,Virginia,51083,17.3,12.6,23.5
Hanover County,Virginia,51085,10.5,7.9,13.5
Henrico County,Virginia,51087,8.5,7.1,10.1
Henry County,Virginia,51089,17.5,13.2,22.6
Highland County,Virginia,51091,11.2,3,27.5
Isle Of Wight County,Virginia,51093,9.7,5.7,15.3
